_MEMBER_LN_meta,_MEMBER_N0,_LogP_LN_meta,_LogP_N0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,-2.2,-2.1,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,M11,2,0.017
1,1,-3.2,-2.5,ko05140,Leishmaniasis,M11,2,0.06
1,1,-2.7,-3.9,R-HSA-9013148,CDC42 GTPase cycle,M11,2,0.091
1,1,-3.8,-2.6,hsa04520,Adherens junction ,M11,2,0.095
1,1,-5.8,-13,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M11,2,0.19
1,1,-2.3,-8.7,R-HSA-9664417,Leishmania phagocytosis,M11,2,0.29
1,1,-2.4,-3.7,R-HSA-112315,Transmission across Chemical Synapses,M11,2,0.11
1,1,-5.2,-3.5,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,M11,2,0.1
1,1,-3.6,-3.2,ko04390,Hippo signaling pathway,M11,2,0.031
1,1,-2.3,-7.8,ko05166,HTLV-I infection,M11,2,0.27
1,1,-5.6,-3.2,R-HSA-114608,Platelet degranulation ,M11,2,0.14
1,1,-11,-3.3,R-HSA-382551,Transport of small molecules,M11,2,0.27
1,1,-3.2,-4.2,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",M11,2,0.067
1,1,-3.2,-3.1,R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,M11,2,0.0054
1,1,-2.8,-8.7,hsa05416,Viral myocarditis ,M11,2,0.25
1,1,-3.6,-7.7,ko04810,Regulation of actin cytoskeleton,M11,2,0.18
1,1,-3.3,-2.3,R-HSA-2219528,PI3K/AKT Signaling in Cancer,M11,2,0.093
1,1,-5.2,-2.4,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,M11,2,0.19
1,1,-7.9,-3.2,hsa04151,PI3K-Akt signaling pathway,M11,2,0.21
1,1,-5.5,-4.1,ko04380,Osteoclast differentiation,M11,2,0.073
1,1,-24,-5.8,R-HSA-422475,Axon guidance,M11,2,0.3
1,1,-2.3,-6.9,ko05142,Chagas disease (American trypanosomiasis),M11,2,0.25
1,1,-5.2,-5,ko04666,Fc gamma R-mediated phagocytosis,M11,2,0.0091
1,1,-2.8,-6.8,ko05132,Salmonella infection,M11,2,0.21
1,1,-4.8,-4.4,hsa04014,Ras signaling pathway,M11,2,0.02
1,1,-3.5,-6.1,hsa05132,Salmonella infection,M11,2,0.14
1,1,-2.4,-5.5,hsa04670,Leukocyte transendothelial migration ,M11,2,0.2
1,1,-2.8,-3.4,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,M11,2,0.042
1,1,-5.6,-2.8,ko04145,Phagosome,M11,2,0.17
1,1,-2.1,-3.4,hsa05323,Rheumatoid arthritis,M11,2,0.12
1,1,-2.5,-3.3,ko05323,Rheumatoid arthritis,M11,2,0.067
1,1,-3.8,-2.6,ko04520,Adherens junction,M11,2,0.095
1,1,-3.3,-2.9,R-HSA-112316,Neuronal System,M11,2,0.032
1,1,-2.4,-2.3,R-HSA-352230,Amino acid transport across the plasma membrane,M11,2,0.013
1,1,-2.6,-19,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,M11,2,0.38
1,1,-3.3,-5.5,R-HSA-8856828,Clathrin-mediated endocytosis,M11,2,0.12
1,1,-25,-6.2,R-HSA-9675108,Nervous system development,M11,2,0.3
1,1,-2.1,-2.5,R-HSA-177929,Signaling by EGFR,M11,2,0.051
1,1,-15,-2.6,R-HSA-376176,Signaling by ROBO receptors,M11,2,0.36
1,1,-2.8,-6.8,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,M11,2,0.21
1,1,-2.6,-2.4,ko05133,Pertussis,M11,2,0.017
1,1,-2,-3.1,R-HSA-194138,Signaling by VEGF,M11,2,0.1
1,1,-2.3,-8.7,R-HSA-9664422,FCGR3A-mediated phagocytosis,M11,2,0.29
1,1,-2.4,-4.6,ko04010,MAPK signaling pathway,M11,2,0.16
1,1,-10,-5.5,hsa05200,Pathways in cancer ,M11,2,0.15
1,1,-3.6,-7.7,hsa04810,Regulation of actin cytoskeleton ,M11,2,0.18
1,1,-2.9,-6.3,R-HSA-9013149,RAC1 GTPase cycle,M11,2,0.19
1,1,-2.2,-6.6,ko04640,Hematopoietic cell lineage,M11,2,0.25
1,1,-3,-4.1,hsa05202,Transcriptional misregulation in cancer,M11,2,0.075
1,1,-7,-6.5,R-HSA-9012999,RHO GTPase cycle,M11,2,0.021
1,1,-3.8,-4.1,ko05202,Transcriptional misregulation in cancer,M11,2,0.02
1,1,-2.4,-4.6,hsa04010,MAPK signaling pathway ,M11,2,0.16
1,1,-3.4,-9.6,R-HSA-76002,"Platelet activation, signaling and aggregation",M11,2,0.24
0,1,0,-6.4,R-HSA-1236974,ER-Phagosome pathway,M01,1,0.37
0,1,0,-2.1,R-HSA-448706,Interleukin-1 processing,M01,1,0.18
1,0,-2.1,0,R-HSA-8935964,RUNX1 regulates expression of components of tight junctions,M10,1,0.18
0,1,0,-2.7,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,M01,1,0.23
0,1,0,-2.7,hsa04664,Fc epsilon RI signaling pathway ,M01,1,0.23
0,1,0,-8.5,hsa05320,Autoimmune thyroid disease ,M01,1,0.39
0,1,0,-2.7,ko04115,p53 signaling pathway,M01,1,0.23
1,0,-2,0,hsa04668,TNF signaling pathway,M10,1,0.17
1,0,-12,0,ko00980,Metabolism of xenobiotics by cytochrome P450,M10,1,0.42
0,1,0,-3.1,R-HSA-9664433,Leishmania parasite growth and survival,M01,1,0.26
0,1,0,-2.7,R-HSA-9634600,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",M01,1,0.23
0,1,0,-8.3,R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,M01,1,0.39
1,0,-2.2,0,ko04330,Notch signaling pathway,M10,1,0.19
1,0,-3.6,0,hsa05231,Choline metabolism in cancer,M10,1,0.28
0,1,0,-3.2,R-HSA-8985947,Interleukin-9 signaling,M01,1,0.26
1,0,-10,0,R-HSA-2262752,Cellular responses to stress,M10,1,0.41
0,1,0,-4.3,R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,M01,1,0.31
0,1,0,-3.8,R-HSA-389359,CD28 dependent Vav1 pathway,M01,1,0.29
0,1,0,-8.5,ko05320,Autoimmune thyroid disease,M01,1,0.39
1,0,-2.2,0,hsa04920,Adipocytokine signaling pathway ,M10,1,0.18
1,0,-4.4,0,hsa05322,Systemic lupus erythematosus ,M10,1,0.32
0,1,0,-3.2,R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,M01,1,0.26
0,1,0,-2.9,R-HSA-373755,Semaphorin interactions,M01,1,0.24
1,0,-4.4,0,ko05322,Systemic lupus erythematosus,M10,1,0.32
1,0,-2.2,0,ko04213,Longevity regulating pathway - multiple species,M10,1,0.18
0,1,0,-2.1,R-HSA-901042,Calnexin/calreticulin cycle,M01,1,0.18
1,0,-2.3,0,hsa04371,Apelin signaling pathway,M10,1,0.2
1,0,-2.1,0,ko00030,Pentose phosphate pathway,M10,1,0.18
1,0,-16,0,R-HSA-168255,Influenza Infection,M10,1,0.44
1,0,-2.1,0,hsa04961,Endocrine and other factor-regulated calcium reabsorption,M10,1,0.17
0,1,0,-3.9,hsa05168,Herpes simplex infection,M01,1,0.3
0,1,0,-4.1,R-HSA-109581,Apoptosis,M01,1,0.3
1,0,-2.2,0,ko04920,Adipocytokine signaling pathway,M10,1,0.18
1,0,-3.4,0,R-HSA-8951671,RUNX3 regulates YAP1-mediated transcription,M10,1,0.27
1,0,-3.3,0,R-HSA-3000171,Non-integrin membrane-ECM interactions,M10,1,0.27
0,1,0,-2.9,R-HSA-453276,Regulation of mitotic cell cycle,M01,1,0.24
1,0,-3.4,0,R-HSA-388844,Receptor-type tyrosine-protein phosphatases,M10,1,0.27
1,0,-3.3,0,ko04072,Phospholipase D signaling pathway,M10,1,0.27
0,1,0,-8.8,R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,M01,1,0.4
0,1,0,-6.7,R-HSA-1236977,Endosomal/Vacuolar pathway,M01,1,0.37
0,1,0,-3.8,R-HSA-9006925,Intracellular signaling by second messengers,M01,1,0.29
0,1,0,-4.2,R-HSA-168638,NOD1/2 Signaling Pathway,M01,1,0.31
1,0,-2.6,0,R-HSA-1989781,PPARA activates gene expression,M10,1,0.22
1,0,-2.8,0,ko00340,Histidine metabolism,M10,1,0.24
1,0,-4.6,0,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,M10,1,0.32
0,1,0,-3,ko05164,Influenza A,M01,1,0.25
1,0,-15,0,R-HSA-211859,Biological oxidations,M10,1,0.44
1,0,-2.2,0,hsa04020,Calcium signaling pathway ,M10,1,0.18
0,1,0,-17,hsa04660,T cell receptor signaling pathway ,M01,1,0.44
0,1,0,-2.1,R-HSA-70221,Glycogen breakdown (glycogenolysis),M01,1,0.17
0,1,0,-2.1,R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,M01,1,0.18
0,1,0,-2.3,R-HSA-375276,Peptide ligand-binding receptors,M01,1,0.19
1,0,-2.3,0,R-HSA-77111,Synthesis of Ketone Bodies,M10,1,0.2
1,0,-3.1,0,hsa04974,Protein digestion and absorption,M10,1,0.26
0,1,0,-9.3,R-HSA-2424491,DAP12 signaling,M01,1,0.4
0,1,0,-3.1,R-HSA-163685,Integration of energy metabolism,M01,1,0.25
1,0,-3.6,0,ko04360,Axon guidance,M10,1,0.28
0,1,0,-2.4,R-HSA-392170,ADP signalling through P2Y purinoceptor 12,M01,1,0.21
0,1,0,-9,ko05340,Primary immunodeficiency,M01,1,0.4
1,0,-2.6,0,R-HSA-5578775,Ion homeostasis,M10,1,0.22
1,0,-2.8,0,R-HSA-74182,Ketone body metabolism,M10,1,0.24
1,0,-3,0,R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",M10,1,0.25
1,0,-2.5,0,ko04917,Prolactin signaling pathway,M10,1,0.21
1,0,-2.8,0,ko04012,ErbB signaling pathway,M10,1,0.23
0,1,0,-7.7,R-HSA-418594,G alpha (i) signalling events,M01,1,0.38
0,1,0,-2.6,R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),M01,1,0.22
0,1,0,-2.4,R-HSA-451326,Activation of kainate receptors upon glutamate binding,M01,1,0.2
1,0,-25,0,R-HSA-192823,Viral mRNA Translation,M10,1,0.46
0,1,0,-3,R-HSA-449836,Other interleukin signaling,M01,1,0.25
0,1,0,-4.9,R-HSA-983169,Class I MHC mediated antigen processing & presentation,M01,1,0.33
0,1,0,-2.2,M00075,"N-glycan biosynthesis, complex type",M01,1,0.18
0,1,0,-3.9,R-HSA-9679506,SARS-CoV Infections,M01,1,0.3
0,1,0,-4.5,R-HSA-3928662,EPHB-mediated forward signaling,M01,1,0.32
1,0,-3.5,0,R-HSA-156584,Cytosolic sulfonation of small molecules,M10,1,0.28
0,1,0,-12,hsa05169,Epstein-Barr virus infection,M01,1,0.42
0,1,0,-14,ko04659,Th17 cell differentiation,M01,1,0.43
0,1,0,-6.7,ko04630,Jak-STAT signaling pathway,M01,1,0.37
0,1,0,-5,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,M01,1,0.33
1,0,-2.1,0,R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,M10,1,0.17
1,0,-2.3,0,R-HSA-163765,ChREBP activates metabolic gene expression,M10,1,0.2
0,1,0,-2.6,R-HSA-6802957,Oncogenic MAPK signaling,M01,1,0.22
0,1,0,-3.2,hsa05032,Morphine addiction,M01,1,0.26
0,1,0,-3,R-HSA-389356,CD28 co-stimulation,M01,1,0.25
1,0,-8.6,0,ko00480,Glutathione metabolism,M10,1,0.4
0,1,0,-2.1,R-HSA-9660826,Purinergic signaling in leishmaniasis infection,M01,1,0.18
0,1,0,-2.2,R-HSA-418592,ADP signalling through P2Y purinoceptor 1,M01,1,0.18
1,0,-2.4,0,R-HSA-180292,GAB1 signalosome,M10,1,0.2
1,0,-2.3,0,R-HSA-5638302,Signaling by Overexpressed Wild-Type EGFR in Cancer,M10,1,0.2
1,0,-17,0,R-HSA-168273,Influenza Viral RNA Transcription and Replication,M10,1,0.44
0,1,0,-2.6,hsa04672,Intestinal immune network for IgA production ,M01,1,0.22
0,1,0,-11,ko05330,Allograft rejection,M01,1,0.42
1,0,-2.9,0,R-HSA-1638074,Keratan sulfate/keratin metabolism,M10,1,0.24
1,0,-3.6,0,R-HSA-6794362,Protein-protein interactions at synapses,M10,1,0.28
1,0,-3,0,hsa04915,Estrogen signaling pathway,M10,1,0.25
0,1,0,-2.6,R-HSA-168927,"TICAM1, RIP1-mediated IKK complex recruitment",M01,1,0.22
1,0,-2.2,0,hsa05217,Basal cell carcinoma ,M10,1,0.18
1,0,-4.3,0,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,M10,1,0.31
1,0,-4.4,0,R-HSA-2142753,Arachidonic acid metabolism,M10,1,0.32
0,1,0,-4.6,R-HSA-2871809,FCERI mediated Ca+2 mobilization,M01,1,0.32
0,1,0,-3.9,ko04114,Oocyte meiosis,M01,1,0.3
1,0,-2.1,0,R-HSA-426048,Arachidonate production from DAG,M10,1,0.18
0,1,0,-12,ko04612,Antigen processing and presentation,M01,1,0.42
0,1,0,-2.8,R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,M01,1,0.23
0,1,0,-2,R-HSA-9635486,Infection with Mycobacterium tuberculosis,M01,1,0.17
0,1,0,-2.3,R-HSA-445989,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,M01,1,0.2
1,0,-24,0,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),M10,1,0.46
0,1,0,-2.8,ko04921,Oxytocin signaling pathway,M01,1,0.24
1,0,-6.3,0,R-HSA-446728,Cell junction organization,M10,1,0.36
1,0,-2.2,0,hsa00591,Linoleic acid metabolism ,M10,1,0.19
1,0,-3,0,R-HSA-2243919,Crosslinking of collagen fibrils,M10,1,0.25
0,1,0,-3.6,R-HSA-5357905,Regulation of TNFR1 signaling,M01,1,0.28
1,0,-2,0,hsa04142,Lysosome ,M10,1,0.17
1,0,-2.6,0,hsa00564,Glycerophospholipid metabolism ,M10,1,0.23
0,1,0,-6.7,R-HSA-180024,DARPP-32 events,M01,1,0.37
1,0,-5.3,0,ko04152,AMPK signaling pathway,M10,1,0.34
0,1,0,-12,ko05332,Graft-versus-host disease,M01,1,0.42
1,0,-3,0,R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",M10,1,0.25
0,1,0,-3.4,R-HSA-164944,Nef and signal transduction,M01,1,0.28
0,1,0,-2.6,hsa04722,Neurotrophin signaling pathway ,M01,1,0.23
1,0,-2.1,0,R-HSA-5666185,RHO GTPases Activate Rhotekin and Rhophilins,M10,1,0.18
0,1,0,-3.9,R-HSA-983705,Signaling by the B Cell Receptor (BCR),M01,1,0.3
1,0,-2,0,ko04668,TNF signaling pathway,M10,1,0.17
0,1,0,-2.6,ko04672,Intestinal immune network for IgA production,M01,1,0.22
0,1,0,-2.1,R-HSA-1169408,ISG15 antiviral mechanism,M01,1,0.17
1,0,-4.6,0,ko05224,Breast cancer,M10,1,0.32
0,1,0,-2.8,R-HSA-1296065,Inwardly rectifying K+ channels,M01,1,0.24
1,0,-2.3,0,R-HSA-977606,Regulation of Complement cascade,M10,1,0.19
0,1,0,-4.5,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,M01,1,0.32
1,0,-2.1,0,ko05030,Cocaine addiction,M10,1,0.18
0,1,0,-21,R-HSA-449147,Signaling by Interleukins,M01,1,0.45
0,1,0,-8.8,R-HSA-5683057,MAPK family signaling cascades,M01,1,0.4
1,0,-2.1,0,hsa04912,GnRH signaling pathway ,M10,1,0.17
0,1,0,-7.2,hsa05162,Measles,M01,1,0.38
1,0,-6.5,0,R-HSA-211945,Phase I - Functionalization of compounds,M10,1,0.37
1,0,-2,0,R-HSA-2132295,MHC class II antigen presentation,M10,1,0.17
1,0,-2,0,ko04142,Lysosome,M10,1,0.17
0,1,0,-2.7,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,M01,1,0.23
0,1,0,-4.2,R-HSA-446652,Interleukin-1 family signaling,M01,1,0.31
1,0,-4.7,0,hsa04152,AMPK signaling pathway,M10,1,0.32
1,0,-2.3,0,R-HSA-8939242,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,M10,1,0.2
1,0,-2.9,0,R-HSA-1236394,Signaling by ERBB4,M10,1,0.24
0,1,0,-5.6,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",M01,1,0.35
1,0,-6,0,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,M10,1,0.36
0,1,0,-2.6,R-HSA-5625900,RHO GTPases activate CIT,M01,1,0.22
1,0,-3.1,0,ko00601,Glycosphingolipid biosynthesis - lacto and neolacto series,M10,1,0.26
1,0,-10,0,ko05418,Fluid shear stress and atherosclerosis,M10,1,0.41
0,1,0,-3.3,R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,M01,1,0.27
1,0,-2.2,0,R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,M10,1,0.19
0,1,0,-3.1,R-HSA-1257604,PIP3 activates AKT signaling,M01,1,0.26
0,1,0,-3.4,R-HSA-1640170,Cell Cycle,M01,1,0.27
0,1,0,-4.4,hsa04621,NOD-like receptor signaling pathway ,M01,1,0.32
1,0,-2,0,hsa00410,beta-Alanine metabolism ,M10,1,0.17
1,0,-2.3,0,hsa05215,Prostate cancer ,M10,1,0.2
0,1,0,-3.7,R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,M01,1,0.29
0,1,0,-3.5,ko05100,Bacterial invasion of epithelial cells,M01,1,0.28
0,1,0,-3.5,hsa04728,Dopaminergic synapse,M01,1,0.28
0,1,0,-4.4,ko05143,African trypanosomiasis,M01,1,0.32
1,0,-3.6,0,hsa04360,Axon guidance ,M10,1,0.28
0,1,0,-2.7,R-HSA-9649948,Signaling downstream of RAS mutants,M01,1,0.23
0,1,0,-3.2,R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,M01,1,0.26
0,1,0,-2.1,R-HSA-69236,G1 Phase,M01,1,0.18
0,1,0,-3,R-HSA-392518,Signal amplification,M01,1,0.25
0,1,0,-3.7,R-HSA-909733,Interferon alpha/beta signaling,M01,1,0.29
1,0,-13,0,hsa03010,Ribosome ,M10,1,0.43
1,0,-2.2,0,R-HSA-8847993,ERBB2 Activates PTK6 Signaling,M10,1,0.19
1,0,-22,0,R-HSA-2408522,Selenoamino acid metabolism,M10,1,0.46
0,1,0,-2.2,R-HSA-937041,IKK complex recruitment mediated by RIP1,M01,1,0.18
1,0,-3,0,hsa02010,ABC transporters ,M10,1,0.25
0,1,0,-7.6,ko04144,Endocytosis,M01,1,0.38
0,1,0,-15,hsa04659,Th17 cell differentiation,M01,1,0.44
1,0,-9.3,0,R-HSA-8957275,Post-translational protein phosphorylation,M10,1,0.4
1,0,-7.9,0,ko05410,Hypertrophic cardiomyopathy (HCM),M10,1,0.39
0,1,0,-17,hsa04650,Natural killer cell mediated cytotoxicity ,M01,1,0.44
0,1,0,-2.7,ko04024,cAMP signaling pathway,M01,1,0.23
0,1,0,-5.2,hsa05203,Viral carcinogenesis,M01,1,0.34
1,0,-2.7,0,R-HSA-1482839,Acyl chain remodelling of PE,M10,1,0.23
1,0,-2.3,0,R-HSA-5638303,Inhibition of Signaling by Overexpressed EGFR,M10,1,0.2
0,1,0,-6.3,R-HSA-9020558,Interleukin-2 signaling,M01,1,0.36
1,0,-2.8,0,hsa04012,ErbB signaling pathway ,M10,1,0.23
1,0,-6,0,hsa04310,Wnt signaling pathway ,M10,1,0.36
1,0,-2.2,0,R-HSA-5140745,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",M10,1,0.19
0,1,0,-10,R-HSA-388841,Costimulation by the CD28 family,M01,1,0.41
0,1,0,-9.5,hsa05321,Inflammatory bowel disease (IBD),M01,1,0.4
0,1,0,-3.6,R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,M01,1,0.28
0,1,0,-3.4,R-HSA-5669034,TNFs bind their physiological receptors,M01,1,0.27
0,1,0,-6.3,R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,M01,1,0.36
0,1,0,-3.9,ko05168,Herpes simplex infection,M01,1,0.3
0,1,0,-2.2,R-HSA-202040,G-protein activation,M01,1,0.19
1,0,-17,0,R-HSA-1474244,Extracellular matrix organization,M10,1,0.44
1,0,-2.9,0,R-HSA-3656237,Defective EXT2 causes exostoses 2,M10,1,0.24
0,1,0,-3,R-HSA-381676,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,M01,1,0.25
1,0,-4.2,0,ko01524,Platinum drug resistance,M10,1,0.31
0,1,0,-2.3,R-HSA-6802952,Signaling by BRAF and RAF fusions,M01,1,0.19
1,0,-5.4,0,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,M10,1,0.34
1,0,-4,0,R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,M10,1,0.3
1,0,-2.1,0,R-HSA-8957322,Metabolism of steroids,M10,1,0.18
1,0,-4.3,0,R-HSA-2029481,FCGR activation,M10,1,0.31
1,0,-2.8,0,R-HSA-977068,Termination of O-glycan biosynthesis,M10,1,0.24
1,0,-11,0,ko00982,Drug metabolism - cytochrome P450,M10,1,0.42
0,1,0,-3.4,R-HSA-8983432,Interleukin-15 signaling,M01,1,0.27
1,0,-2.4,0,R-HSA-2024096,HS-GAG degradation,M10,1,0.2
0,1,0,-2.2,R-HSA-72172,mRNA Splicing,M01,1,0.18
0,1,0,-2.7,R-HSA-9679191,Potential therapeutics for SARS,M01,1,0.23
1,0,-15,0,R-HSA-71291,Metabolism of amino acids and derivatives,M10,1,0.44
1,0,-5.6,0,R-HSA-5173105,O-linked glycosylation,M10,1,0.35
0,1,0,-4,R-HSA-5218859,Regulated Necrosis,M01,1,0.3
1,0,-2.5,0,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",M10,1,0.21
0,1,0,-7.8,R-HSA-202733,Cell surface interactions at the vascular wall,M01,1,0.39
0,1,0,-7.6,hsa04144,Endocytosis ,M01,1,0.38
1,0,-2.6,0,R-HSA-1227990,Signaling by ERBB2 in Cancer,M10,1,0.22
0,1,0,-2.4,ko04971,Gastric acid secretion,M01,1,0.21
0,1,0,-3.3,ko05032,Morphine addiction,M01,1,0.27
1,0,-2.1,0,R-HSA-9032759,NTRK2 activates RAC1,M10,1,0.18
1,0,-25,0,R-HSA-156842,Eukaryotic Translation Elongation,M10,1,0.46
1,0,-2.8,0,hsa04072,Phospholipase D signaling pathway,M10,1,0.24
0,1,0,-6.6,ko05169,Epstein-Barr virus infection,M01,1,0.37
0,1,0,-5.4,R-HSA-912526,Interleukin receptor SHC signaling,M01,1,0.34
1,0,-6,0,ko05150,Staphylococcus aureus infection,M10,1,0.36
1,0,-2.1,0,hsa04350,TGF-beta signaling pathway ,M10,1,0.18
0,1,0,-2.6,R-HSA-9607240,FLT3 Signaling,M01,1,0.22
1,0,-13,0,R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",M10,1,0.43
1,0,-11,0,R-HSA-3000178,ECM proteoglycans,M10,1,0.42
1,0,-2.8,0,R-HSA-9013406,RHOQ GTPase cycle,M10,1,0.24
0,1,0,-2.8,R-HSA-8953854,Metabolism of RNA,M01,1,0.23
1,0,-4.1,0,ko05231,Choline metabolism in cancer,M10,1,0.3
1,0,-23,0,R-HSA-2408557,Selenocysteine synthesis,M10,1,0.46
1,0,-4,0,R-HSA-1251932,PLCG1 events in ERBB2 signaling,M10,1,0.3
1,0,-12,0,R-HSA-390522,Striated Muscle Contraction,M10,1,0.42
