Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-72613,Eukaryotic Translation Initiation,,-24,4.7,13,28162,119,2791,55,2,0.26,1981|3646|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|9045|23521|27335|51386|116832|200916,EIF4G1|EIF3E|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|RPL14|RPL13A|EIF3K|EIF3L|RPL39L|RPL22L1,-21,LN_meta
Reactome Gene Sets,6,R-HSA-72737,Cap-dependent Translation Initiation,,-24,4.7,13,28162,119,2791,55,2,0.26,1981|3646|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|9045|23521|27335|51386|116832|200916,EIF4G1|EIF3E|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|RPL14|RPL13A|EIF3K|EIF3L|RPL39L|RPL22L1,-21,LN_meta
Reactome Gene Sets,6,R-HSA-72764,Eukaryotic Translation Termination,,-23,5.2,13,28162,93,2791,48,1.7,0.25,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|RPL39L|RPL22L1,-21,LN_meta
Reactome Gene Sets,6,R-HSA-2408557,Selenocysteine synthesis,,-23,5.2,13,28162,93,2791,48,1.7,0.25,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|RPL39L|RPL22L1,-21,LN_meta
Reactome Gene Sets,6,R-HSA-2408522,Selenoamino acid metabolism,,-22,4.5,13,28162,118,2791,53,1.9,0.26,875|3176|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|7296|9045|9060|23521|27232|116832|200916,CBS|HNMT|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|TXNRD1|RPL14|PAPSS2|RPL13A|GNMT|RPL39L|RPL22L1,-20,LN_meta
Reactome Gene Sets,6,R-HSA-927802,Nonsense-Mediated Decay (NMD),,-21,4.5,12,28162,115,2791,51,1.8,0.25,1981|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23293|23521|55181|116832|200916,EIF4G1|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|SMG6|RPL13A|SMG8|RPL39L|RPL22L1,-19,LN_meta
Reactome Gene Sets,6,R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-21,4.5,12,28162,115,2791,51,1.8,0.25,1981|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23293|23521|55181|116832|200916,EIF4G1|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|SMG6|RPL13A|SMG8|RPL39L|RPL22L1,-19,LN_meta
Reactome Gene Sets,6,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,,-20,4.4,12,28162,112,2791,49,1.8,0.25,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|58477|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|SRPRB|RPL39L|RPL22L1,-18,LN_meta
Reactome Gene Sets,6,R-HSA-168273,Influenza Viral RNA Transcription and Replication,,-17,3.7,11,28162,135,2791,50,1.8,0.25,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|9631|23521|53371|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|NUP155|RPL13A|NUP54|RPL39L|RPL22L1,-15,LN_meta
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-17,2.7,9.9,28162,301,2791,81,2.9,0.32,351|633|652|726|827|871|1278|1281|1282|1284|1285|1291|1292|1293|1295|1300|1302|1306|1311|1462|1514|1605|1758|1834|1991|2006|2199|2201|2335|3339|3381|3383|3679|3696|3908|3911|3913|4016|4038|4053|4054|4237|4239|4316|4320|4323|4593|4680|4684|4811|4921|5118|5339|5351|5650|5802|6383|6678|6696|7043|7076|7093|7148|7373|8425|8515|8516|9507|9510|10491|10516|10536|11117|22795|22801|26577|30008|50859|81578|83700|222663,APP|BGN|BMP4|CAPN5|CAPN6|SERPINH1|COL1A2|COL3A1|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|COL8A1|COL10A1|COL11A2|COL15A1|COMP|VCAN|CTSL|DAG1|DMP1|DSPP|ELANE|ELN|FBLN2|FBN2|FN1|HSPG2|IBSP|ICAM1|ITGA7|ITGB8|LAMA2|LAMA5|LAMB2|LOXL1|LRP4|LTBP2|LTBP3|MFAP2|MFAP4|MMP7|MMP11|MMP14|MUSK|CEACAM6|NCAM1|NID1|DDR2|PCOLCE|PLEC|PLOD1|KLK7|PTPRS|SDC2|SPARC|SPP1|TGFB3|TIMP1|TLL2|TNXB|COL14A1|LTBP4|ITGA10|ITGA8|ADAMTS4|ADAMTS1|CRTAP|FBLN5|P3H3|EMILIN1|NID2|ITGA11|PCOLCE2|EFEMP2|SPOCK3|COL21A1|JAM3|SCUBE3,-14,LN_meta
Reactome Gene Sets,6,R-HSA-9711097,Cellular response to starvation,,-16,3.5,10,28162,156,2791,54,1.9,0.26,467|468|525|1051|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23334|23521|57761|116832|200916,ATF3|ATF4|ATP6V1B1|CEBPB|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|SZT2|RPL13A|TRIB3|RPL39L|RPL22L1,-14,LN_meta
Reactome Gene Sets,6,R-HSA-168255,Influenza Infection,,-16,3.4,10,28162,156,2791,53,1.9,0.26,1211|3303|3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8106|9045|9631|23521|53371|116832|200916,CLTA|HSPA1A|RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|PABPN1|RPL14|NUP155|RPL13A|NUP54|RPL39L|RPL22L1,-14,LN_meta
Reactome Gene Sets,6,R-HSA-376176,Signaling by ROBO receptors,,-15,3,9.6,28162,218,2791,64,2.3,0.28,25|27|1605|1630|1981|2817|3921|4440|4736|5217|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|6387|6586|6714|8829|9045|9353|10298|23521|57522|64221|116832|200916,ABL1|ABL2|DAG1|DCC|EIF4G1|GPC1|RPSA|MSI1|RPL10A|PFN2|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|CXCL12|SLIT3|SRC|NRP1|RPL14|SLIT2|PAK4|RPL13A|SRGAP1|ROBO3|RPL39L|RPL22L1,-13,LN_meta
