Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
LN_meta,GO Biological Processes,19,GO:0051604,protein maturation,19_GO:0008152 metabolic process,-4.1,8.6,6.4,30211,251,84,6,7.1,2.8,3250|5126|6447|8260|8772|10549,HPR|PCSK2|SCG5|NAA10|FADD|PRDX4,-2.2
LN_meta,KEGG Pathway,24,hsa04260,Cardiac muscle contraction,,-4,17,7.7,30211,87,84,4,4.8,2.3,487|4624|4634|4635,ATP2A1|MYH6|MYL3|MYL4,-2
LN_meta,Reactome Gene Sets,6,R-HSA-8963899,Plasma lipoprotein remodeling,,-4,33,9.6,30211,33,84,3,3.6,2,213|335|337,ALB|APOA1|APOA4,-2
LN_meta,GO Biological Processes,19,GO:0048738,cardiac muscle tissue development,19_GO:0032502 developmental process,-3.9,10,6.5,30211,173,84,5,6,2.6,4624|4629|4634|58498|91807,MYH6|MYH11|MYL3|MYL7|MYLK3,-2
LN_meta,GO Biological Processes,19,GO:0008015,blood circulation,19_GO:0032501 multicellular organismal process,-3.9,6.3,5.6,30211,400,84,7,8.3,3,4624|4634|4635|58498|91608|91807|219537,MYH6|MYL3|MYL4|MYL7|RASL10B|MYLK3|SMTNL1,-2
LN_meta,GO Biological Processes,19,GO:0060047,heart contraction,19_GO:0032501 multicellular organismal process,-3.9,16,7.4,30211,92,84,4,4.8,2.3,4624|4634|4635|58498,MYH6|MYL3|MYL4|MYL7,-2
LN_meta,GO Biological Processes,19,GO:0045923,positive regulation of fatty acid metabolic process,19_GO:0048518 positive regulation of biological process,-3.8,28,8.8,30211,39,84,3,3.6,2,335|337|2693,APOA1|APOA4|GHSR,-1.9
LN_meta,Reactome Gene Sets,6,R-HSA-445355,Smooth Muscle Contraction,,-3.7,27,8.7,30211,40,84,3,3.6,2,72|4629|58498,ACTG2|MYH11|MYL7,-1.8
LN_meta,GO Biological Processes,19,GO:0044058,regulation of digestive system process,19_GO:0032501 multicellular organismal process,-3.7,26,8.5,30211,42,84,3,3.6,2,335|337|2693,APOA1|APOA4|GHSR,-1.8
LN_meta,Reactome Gene Sets,6,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,,-3.7,26,8.5,30211,42,84,3,3.6,2,213|335|3250,ALB|APOA1|HPR,-1.8
LN_meta,GO Biological Processes,19,GO:0006941,striated muscle contraction,19_GO:0032501 multicellular organismal process,-3.7,14,6.8,30211,106,84,4,4.8,2.3,4624|4626|4634|4635,MYH6|MYH8|MYL3|MYL4,-1.8
LN_meta,GO Biological Processes,19,GO:0003015,heart process,19_GO:0032501 multicellular organismal process,-3.6,13,6.8,30211,108,84,4,4.8,2.3,4624|4634|4635|58498,MYH6|MYL3|MYL4|MYL7,-1.8
LN_meta,KEGG Pathway,24,hsa04510,Focal adhesion,,-3.6,8.9,6,30211,201,84,5,6,2.6,1297|1299|5923|58498|91807,COL9A1|COL9A3|RASGRF1|MYL7|MYLK3,-1.7
LN_meta,Canonical Pathways,11,M106,PID HNF3B PATHWAY,,-3.6,24,8.1,30211,45,84,3,3.6,2,213|229|335,ALB|ALDOB|APOA1,-1.7
LN_meta,GO Biological Processes,19,GO:0045933,positive regulation of muscle contraction,19_GO:0048518 positive regulation of biological process,-3.6,24,8.1,30211,45,84,3,3.6,2,487|2017|2693,ATP2A1|CTTN|GHSR,-1.7
LN_meta,GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-3.6,4.8,4.9,30211,602,84,8,9.5,3.2,2017|2693|4624|4626|4629|7429|91807|219537,CTTN|GHSR|MYH6|MYH8|MYH11|VIL1|MYLK3|SMTNL1,-1.7
LN_meta,WikiPathways,27,WP2406,Cardiac progenitor differentiation,,-3.4,20,7.4,30211,53,84,3,3.6,2,4624|79727|91807,MYH6|LIN28A|MYLK3,-1.5
LN_meta,GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-3.3,5.1,4.9,30211,492,84,7,8.3,3,4624|4634|4635|58498|91608|91807|219537,MYH6|MYL3|MYL4|MYL7|RASL10B|MYLK3|SMTNL1,-1.5
LN_meta,GO Biological Processes,19,GO:0010817,regulation of hormone levels,19_GO:0065007 biological regulation,-3.3,5.1,4.8,30211,496,84,7,8.3,3,2693|3814|5126|6447|6822|64577|91608,GHSR|KISS1|PCSK2|SCG5|SULT2A1|ALDH8A1|RASL10B,-1.5
LN_meta,KEGG Pathway,24,hsa04270,Vascular smooth muscle contraction,,-3.3,11,6,30211,134,84,4,4.8,2.3,72|4629|91807|163688,ACTG2|MYH11|MYLK3|CALML6,-1.5
LN_meta,KEGG Pathway,24,hsa04371,Apelin signaling pathway,,-3.2,10,5.8,30211,139,84,4,4.8,2.3,4634|4635|91807|163688,MYL3|MYL4|MYLK3|CALML6,-1.4
LN_meta,GO Biological Processes,19,GO:0030301,cholesterol transport,19_GO:0051179 localization,-3.2,18,7,30211,60,84,3,3.6,2,335|337|219931,APOA1|APOA4|TPCN2,-1.4
LN_meta,GO Biological Processes,19,GO:0097435,supramolecular fiber organization,19_GO:0009987 cellular process,-3.2,4.8,4.7,30211,522,84,7,8.3,3,2017|2693|4624|4629|7429|54474|91807,CTTN|GHSR|MYH6|MYH11|VIL1|KRT20|MYLK3,-1.4
LN_meta,GO Biological Processes,19,GO:0008154,actin polymerization or depolymerization,19_GO:0009987 cellular process,-3.2,18,6.9,30211,61,84,3,3.6,2,2017|2693|7429,CTTN|GHSR|VIL1,-1.4
LN_meta,GO Biological Processes,19,GO:0030239,myofibril assembly,19_GO:0032502 developmental process,-3.2,18,6.9,30211,61,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-1.4
LN_meta,GO Biological Processes,19,GO:0055013,cardiac muscle cell development,19_GO:0032502 developmental process,-3.2,18,6.9,30211,61,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-1.4
LN_meta,GO Biological Processes,19,GO:0055002,striated muscle cell development,19_GO:0032502 developmental process,-3.2,17,6.8,30211,62,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-1.4
LN_meta,KEGG Pathway,24,hsa05010,Alzheimer disease,,-3.1,5.6,4.8,30211,384,84,6,7.1,2.8,487|4715|4726|7475|8772|163688,ATP2A1|NDUFB9|NDUFS6|WNT6|FADD|CALML6,-1.4
LN_meta,GO Biological Processes,19,GO:0062013,positive regulation of small molecule metabolic process,19_GO:0048518 positive regulation of biological process,-3.1,9.9,5.7,30211,146,84,4,4.8,2.3,335|337|2693|2819,APOA1|APOA4|GHSR|GPD1,-1.4
LN_meta,GO Biological Processes,19,GO:1903522,regulation of blood circulation,19_GO:0032501 multicellular organismal process,-3.1,7,5.1,30211,256,84,5,6,2.6,487|4624|4634|4635|219537,ATP2A1|MYH6|MYL3|MYL4|SMTNL1,-1.4
LN_meta,GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-3.1,4.7,4.5,30211,540,84,7,8.3,3,2017|2693|4624|4629|7429|91807|219537,CTTN|GHSR|MYH6|MYH11|VIL1|MYLK3|SMTNL1,-1.4
LN_meta,GO Biological Processes,19,GO:0014823,response to activity,19_GO:0050896 response to stimulus,-3.1,17,6.6,30211,65,84,3,3.6,2,158|219537|252995,ADSL|SMTNL1|FNDC5,-1.3
LN_meta,GO Biological Processes,19,GO:0070252,actin-mediated cell contraction,19_GO:0009987 cellular process,-3.1,16,6.5,30211,67,84,3,3.6,2,4624|4626|7429,MYH6|MYH8|VIL1,-1.3
LN_meta,GO Biological Processes,19,GO:0055006,cardiac cell development,19_GO:0032502 developmental process,-3.1,16,6.5,30211,67,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-1.3
LN_meta,Reactome Gene Sets,6,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",,-3,15,6.4,30211,70,84,3,3.6,2,213|335|337,ALB|APOA1|APOA4,-1.3
LN_meta,GO Biological Processes,19,GO:0060048,cardiac muscle contraction,19_GO:0032501 multicellular organismal process,-2.9,14,6.1,30211,75,84,3,3.6,2,4624|4634|4635,MYH6|MYL3|MYL4,-1.2
LN_meta,KEGG Pathway,24,hsa04022,cGMP-PKG signaling pathway,,-2.9,8.6,5.2,30211,167,84,4,4.8,2.3,487|4624|91807|163688,ATP2A1|MYH6|MYLK3|CALML6,-1.2
LN_meta,GO Biological Processes,19,GO:0014706,striated muscle tissue development,19_GO:0032502 developmental process,-2.9,6.3,4.7,30211,287,84,5,6,2.6,4624|4629|4634|58498|91807,MYH6|MYH11|MYL3|MYL7|MYLK3,-1.2
LN_meta,GO Biological Processes,19,GO:0015918,sterol transport,19_GO:0051179 localization,-2.9,14,6,30211,77,84,3,3.6,2,335|337|219931,APOA1|APOA4|TPCN2,-1.2
LN_meta,GO Biological Processes,19,GO:0006937,regulation of muscle contraction,19_GO:0032501 multicellular organismal process,-2.9,8.5,5.2,30211,170,84,4,4.8,2.3,487|2017|2693|4634,ATP2A1|CTTN|GHSR|MYL3,-1.2
LN_meta,GO Biological Processes,19,GO:0048644,muscle organ morphogenesis,19_GO:0032502 developmental process,-2.8,13,5.9,30211,80,84,3,3.6,2,4624|4634|219537,MYH6|MYL3|SMTNL1,-1.1
LN_meta,GO Biological Processes,19,GO:1902905,positive regulation of supramolecular fiber organization,19_GO:0048518 positive regulation of biological process,-2.8,8.2,5,30211,176,84,4,4.8,2.3,335|2017|7429|91807,APOA1|CTTN|VIL1|MYLK3,-1.1
LN_meta,GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-2.8,4.2,4.1,30211,606,84,7,8.3,3,2693|3814|6447|54474|91608|219931|387129,GHSR|KISS1|SCG5|KRT20|RASL10B|TPCN2|NPSR1,-1.1
LN_meta,GO Biological Processes,19,GO:0045333,cellular respiration,19_GO:0008152 metabolic process,-2.8,8,5,30211,180,84,4,4.8,2.3,158|2819|4715|4726,ADSL|GPD1|NDUFB9|NDUFS6,-1.1
LN_meta,GO Biological Processes,19,GO:0060537,muscle tissue development,19_GO:0032502 developmental process,-2.8,5.9,4.5,30211,306,84,5,6,2.6,4624|4629|4634|58498|91807,MYH6|MYH11|MYL3|MYL7|MYLK3,-1.1
LN_meta,GO Biological Processes,19,GO:0016485,protein processing,19_GO:0008152 metabolic process,-2.8,7.9,4.9,30211,182,84,4,4.8,2.3,3250|5126|6447|8772,HPR|PCSK2|SCG5|FADD,-1.1
LN_meta,GO Biological Processes,19,GO:0055007,cardiac muscle cell differentiation,19_GO:0032502 developmental process,-2.8,13,5.7,30211,85,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-1.1
LN_meta,GO Biological Processes,19,GO:2000106,regulation of leukocyte apoptotic process,19_GO:0050789 regulation of biological process,-2.8,13,5.7,30211,85,84,3,3.6,2,2693|8772|56891,GHSR|FADD|LGALS14,-1.1
LN_meta,KEGG Pathway,24,hsa05410,Hypertrophic cardiomyopathy,,-2.7,12,5.5,30211,90,84,3,3.6,2,487|4624|4634,ATP2A1|MYH6|MYL3,-1
LN_meta,GO Biological Processes,19,GO:0098869,cellular oxidant detoxification,19_GO:0098754 detoxification,-2.7,12,5.5,30211,90,84,3,3.6,2,213|337|10549,ALB|APOA4|PRDX4,-1
LN_meta,KEGG Pathway,24,hsa05022,Pathways of neurodegeneration - multiple diseases,,-2.7,4.5,4.1,30211,476,84,6,7.1,2.8,487|4715|4726|7475|8772|163688,ATP2A1|NDUFB9|NDUFS6|WNT6|FADD|CALML6,-1
LN_meta,GO Biological Processes,19,GO:0051495,positive regulation of cytoskeleton organization,19_GO:0048518 positive regulation of biological process,-2.7,7.4,4.7,30211,195,84,4,4.8,2.3,335|2017|7429|91807,APOA1|CTTN|VIL1|MYLK3,-1
LN_meta,WikiPathways,27,WP15,Selenium micronutrient network,,-2.7,12,5.4,30211,92,84,3,3.6,2,213|335|10549,ALB|APOA1|PRDX4,-1
LN_meta,GO Biological Processes,19,GO:0019217,regulation of fatty acid metabolic process,19_GO:0008152 metabolic process,-2.7,12,5.4,30211,92,84,3,3.6,2,335|337|2693,APOA1|APOA4|GHSR,-1
LN_meta,GO Biological Processes,19,GO:0042594,response to starvation,19_GO:0050896 response to stimulus,-2.7,7.3,4.7,30211,196,84,4,4.8,2.3,158|213|9506|54474,ADSL|ALB|PAGE4|KRT20,-1
LN_meta,GO Biological Processes,19,GO:0048638,regulation of developmental growth,19_GO:0040007 growth,-2.6,5.5,4.3,30211,329,84,5,6,2.6,2017|2045|2693|4624|7429,CTTN|EPHA7|GHSR|MYH6|VIL1,-1
LN_meta,GO Biological Processes,19,GO:0042445,hormone metabolic process,19_GO:0008152 metabolic process,-2.6,7.3,4.7,30211,198,84,4,4.8,2.3,5126|6447|6822|64577,PCSK2|SCG5|SULT2A1|ALDH8A1,-1
LN_meta,KEGG Pathway,24,hsa05414,Dilated cardiomyopathy,,-2.6,11,5.3,30211,96,84,3,3.6,2,487|4624|4634,ATP2A1|MYH6|MYL3,-0.97
LN_meta,GO Biological Processes,19,GO:0030048,actin filament-based movement,19_GO:0009987 cellular process,-2.6,11,5.3,30211,97,84,3,3.6,2,4624|4626|7429,MYH6|MYH8|VIL1,-0.96
LN_meta,GO Biological Processes,19,GO:0008016,regulation of heart contraction,19_GO:0032501 multicellular organismal process,-2.6,6.9,4.5,30211,207,84,4,4.8,2.3,487|4624|4634|4635,ATP2A1|MYH6|MYL3|MYL4,-0.95
LN_meta,GO Biological Processes,19,GO:0010927,cellular component assembly involved in morphogenesis,19_GO:0032502 developmental process,-2.5,11,5.1,30211,102,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-0.92
LN_meta,GO Biological Processes,19,GO:0016052,carbohydrate catabolic process,19_GO:0008152 metabolic process,-2.5,11,5.1,30211,102,84,3,3.6,2,229|2027|5837,ALDOB|ENO3|PYGM,-0.92
LN_meta,GO Biological Processes,19,GO:0051963,regulation of synapse assembly,19_GO:0032502 developmental process,-2.5,10,5.1,30211,103,84,3,3.6,2,2045|2693|347730,EPHA7|GHSR|LRRTM1,-0.91
LN_meta,GO Biological Processes,19,GO:0022904,respiratory electron transport chain,19_GO:0008152 metabolic process,-2.5,10,5,30211,105,84,3,3.6,2,2819|4715|4726,GPD1|NDUFB9|NDUFS6,-0.9
LN_meta,GO Biological Processes,19,GO:1990748,cellular detoxification,19_GO:0098754 detoxification,-2.5,10,5,30211,105,84,3,3.6,2,213|337|10549,ALB|APOA4|PRDX4,-0.9
LN_meta,KEGG Pathway,24,hsa04810,Regulation of actin cytoskeleton,,-2.5,6.6,4.4,30211,218,84,4,4.8,2.3,2248|4629|58498|91807,FGF3|MYH11|MYL7|MYLK3,-0.89
LN_meta,KEGG Pathway,24,hsa04922,Glucagon signaling pathway,,-2.5,10,5,30211,107,84,3,3.6,2,5260|5837|163688,PHKG1|PYGM|CALML6,-0.88
LN_meta,GO Biological Processes,19,GO:0031032,actomyosin structure organization,19_GO:0009987 cellular process,-2.4,9.8,4.9,30211,110,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-0.85
LN_meta,Reactome Gene Sets,6,R-HSA-977225,Amyloid fiber formation,,-2.4,9.7,4.9,30211,111,84,3,3.6,2,335|337|8331,APOA1|APOA4|H2AC14,-0.84
LN_meta,GO Biological Processes,19,GO:0097237,cellular response to toxic substance,19_GO:0050896 response to stimulus,-2.4,9.5,4.8,30211,113,84,3,3.6,2,213|337|10549,ALB|APOA4|PRDX4,-0.82
LN_meta,GO Biological Processes,19,GO:0046883,regulation of hormone secretion,19_GO:0023052 signaling,-2.4,6.2,4.2,30211,231,84,4,4.8,2.3,2693|3814|6447|91608,GHSR|KISS1|SCG5|RASL10B,-0.82
LN_meta,GO Biological Processes,19,GO:0035051,cardiocyte differentiation,19_GO:0032502 developmental process,-2.4,9.4,4.8,30211,115,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-0.81
LN_meta,GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-2.4,3.9,3.7,30211,549,84,6,7.1,2.8,2693|3814|6447|54474|91608|219931,GHSR|KISS1|SCG5|KRT20|RASL10B|TPCN2,-0.79
LN_meta,GO Biological Processes,19,GO:0008203,cholesterol metabolic process,19_GO:0008152 metabolic process,-2.4,9.1,4.7,30211,118,84,3,3.6,2,335|337|6822,APOA1|APOA4|SULT2A1,-0.78
LN_meta,GO Biological Processes,19,GO:0032970,regulation of actin filament-based process,19_GO:0050789 regulation of biological process,-2.3,4.6,3.8,30211,392,84,5,6,2.6,335|487|2017|7429|91807,APOA1|ATP2A1|CTTN|VIL1|MYLK3,-0.75
LN_meta,GO Biological Processes,19,GO:0090257,regulation of muscle system process,19_GO:0032501 multicellular organismal process,-2.3,5.8,4,30211,250,84,4,4.8,2.3,487|2017|2693|4634,ATP2A1|CTTN|GHSR|MYL3,-0.72
LN_meta,GO Biological Processes,19,GO:0032989,cellular component morphogenesis,19_GO:0032502 developmental process,-2.3,3.8,3.5,30211,573,84,6,7.1,2.8,2017|2045|4624|4629|9576|91807,CTTN|EPHA7|MYH6|MYH11|SPAG6|MYLK3,-0.72
LN_meta,GO Biological Processes,19,GO:1902652,secondary alcohol metabolic process,19_GO:0008152 metabolic process,-2.3,8.4,4.4,30211,128,84,3,3.6,2,335|337|6822,APOA1|APOA4|SULT2A1,-0.71
LN_meta,Reactome Gene Sets,6,R-HSA-6809371,Formation of the cornified envelope,,-2.2,8.3,4.4,30211,130,84,3,3.6,2,3887|54474|374454,KRT81|KRT20|KRT77,-0.69
LN_meta,GO Biological Processes,19,GO:0098754,detoxification,19_GO:0098754 detoxification,-2.2,8.2,4.4,30211,132,84,3,3.6,2,213|337|10549,ALB|APOA4|PRDX4,-0.68
LN_meta,GO Biological Processes,19,GO:0010565,regulation of cellular ketone metabolic process,19_GO:0008152 metabolic process,-2.2,8.2,4.4,30211,132,84,3,3.6,2,335|337|2693,APOA1|APOA4|GHSR,-0.68
LN_meta,GO Biological Processes,19,GO:0016125,sterol metabolic process,19_GO:0008152 metabolic process,-2.2,8.1,4.3,30211,133,84,3,3.6,2,335|337|6822,APOA1|APOA4|SULT2A1,-0.67
LN_meta,GO Biological Processes,19,GO:0008584,male gonad development,19_GO:0022414 reproductive process,-2.2,8,4.3,30211,135,84,3,3.6,2,1299|10549|29844,COL9A3|PRDX4|TFPT,-0.66
LN_meta,GO Biological Processes,19,GO:0046546,development of primary male sexual characteristics,19_GO:0022414 reproductive process,-2.2,7.9,4.3,30211,136,84,3,3.6,2,1299|10549|29844,COL9A3|PRDX4|TFPT,-0.66
LN_meta,GO Biological Processes,19,GO:0030198,extracellular matrix organization,19_GO:0009987 cellular process,-2.2,5.4,3.8,30211,266,84,4,4.8,2.3,1297|1299|4629|10549,COL9A1|COL9A3|MYH11|PRDX4,-0.66
LN_meta,GO Biological Processes,19,GO:0043062,extracellular structure organization,19_GO:0009987 cellular process,-2.2,5.4,3.8,30211,267,84,4,4.8,2.3,1297|1299|4629|10549,COL9A1|COL9A3|MYH11|PRDX4,-0.66
LN_meta,WikiPathways,27,WP5124,Alzheimer's disease,,-2.2,5.4,3.8,30211,267,84,4,4.8,2.3,487|7475|8772|163688,ATP2A1|WNT6|FADD|CALML6,-0.66
LN_meta,KEGG Pathway,24,hsa04910,Insulin signaling pathway,,-2.2,7.9,4.3,30211,137,84,3,3.6,2,5260|5837|163688,PHKG1|PYGM|CALML6,-0.65
LN_meta,GO Biological Processes,19,GO:0045229,external encapsulating structure organization,19_GO:0009987 cellular process,-2.2,5.3,3.8,30211,269,84,4,4.8,2.3,1297|1299|4629|10549,COL9A1|COL9A3|MYH11|PRDX4,-0.65
LN_meta,GO Biological Processes,19,GO:0031667,response to nutrient levels,19_GO:0050896 response to stimulus,-2.1,4.1,3.5,30211,437,84,5,6,2.6,158|213|2693|9506|54474,ADSL|ALB|GHSR|PAGE4|KRT20,-0.61
LN_meta,WikiPathways,27,WP51,Regulation of actin cytoskeleton,,-2.1,7.2,4,30211,150,84,3,3.6,2,2248|4634|7429,FGF3|MYL3|VIL1,-0.57
LN_meta,GO Biological Processes,19,GO:0009060,aerobic respiration,19_GO:0008152 metabolic process,-2.1,7.1,4,30211,151,84,3,3.6,2,158|4715|4726,ADSL|NDUFB9|NDUFS6,-0.56
LN_meta,GO Biological Processes,19,GO:0045834,positive regulation of lipid metabolic process,19_GO:0048518 positive regulation of biological process,-2,7.1,4,30211,153,84,3,3.6,2,335|337|2693,APOA1|APOA4|GHSR,-0.55
LN_meta,GO Biological Processes,19,GO:0015850,organic hydroxy compound transport,19_GO:0051179 localization,-2,7,3.9,30211,155,84,3,3.6,2,335|337|219931,APOA1|APOA4|TPCN2,-0.54
LN_meta,Reactome Gene Sets,6,R-HSA-71387,Metabolism of carbohydrates,,-2,4.9,3.5,30211,295,84,4,4.8,2.3,229|2027|5260|5837,ALDOB|ENO3|PHKG1|PYGM,-0.54
LN_meta,GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,19_GO:0008152 metabolic process,-2,3.9,3.3,30211,462,84,5,6,2.6,229|2027|2819|5260|5837,ALDOB|ENO3|GPD1|PHKG1|PYGM,-0.53
LN_meta,GO Biological Processes,19,GO:0055001,muscle cell development,19_GO:0032502 developmental process,-2,6.9,3.9,30211,157,84,3,3.6,2,4624|4629|91807,MYH6|MYH11|MYLK3,-0.52
LN_meta,KEGG Pathway,24,hsa04217,Necroptosis,,-2,6.8,3.9,30211,159,84,3,3.6,2,5837|8331|8772,PYGM|H2AC14|FADD,-0.51
LN_meta,GO Biological Processes,19,GO:0022900,electron transport chain,19_GO:0008152 metabolic process,-2,6.8,3.9,30211,159,84,3,3.6,2,2819|4715|4726,GPD1|NDUFB9|NDUFS6,-0.51
LN_meta,GO Biological Processes,19,GO:0046661,male sex differentiation,19_GO:0022414 reproductive process,-2,6.8,3.9,30211,159,84,3,3.6,2,1299|10549|29844,COL9A3|PRDX4|TFPT,-0.51
LN_meta_MCODE_ALL,Reactome Gene Sets,6,R-HSA-397014,Muscle contraction,,-11,92,23,30211,197,10,6,60,15,72|4624|4626|4629|4634|4635,ACTG2|MYH6|MYH8|MYH11|MYL3|MYL4,-7.1
LN_meta_MCODE_ALL,Reactome Gene Sets,6,R-HSA-390522,Striated Muscle Contraction,,-9.5,3.4e+02,37,30211,36,10,4,40,15,4624|4626|4634|4635,MYH6|MYH8|MYL3|MYL4,-6.2
LN_meta_MCODE_ALL,WikiPathways,27,WP383,Striated muscle contraction pathway,,-9.4,3.2e+02,36,30211,38,10,4,40,15,4624|4626|4634|4635,MYH6|MYH8|MYL3|MYL4,-6.2
LN_meta_MCODE_ALL,GO Biological Processes,19,GO:0006936,muscle contraction,19_GO:0032501 multicellular organismal process,-8.3,67,18,30211,227,10,5,50,16,4624|4626|4629|4634|4635,MYH6|MYH8|MYH11|MYL3|MYL4,-5.3
LN_meta_MCODE_ALL,GO Biological Processes,19,GO:0003012,muscle system process,19_GO:0032501 multicellular organismal process,-7.8,54,16,30211,281,10,5,50,16,4624|4626|4629|4634|4635,MYH6|MYH8|MYH11|MYL3|MYL4,-4.9
LN_meta_MCODE_ALL,GO Biological Processes,19,GO:0006941,striated muscle contraction,19_GO:0032501 multicellular organismal process,-7.5,1.1e+02,21,30211,106,10,4,40,15,4624|4626|4634|4635,MYH6|MYH8|MYL3|MYL4,-4.7
LN_meta_MCODE_ALL,GO Biological Processes,19,GO:0002026,regulation of the force of heart contraction,19_GO:0032501 multicellular organismal process,-7.2,3.5e+02,32,30211,26,10,3,30,14,4624|4634|4635,MYH6|MYL3|MYL4,-4.4
